266 contests
rank	name	rating	participations
657	EAirPeter	2389.8488962858974	11
658	physics0523	2389.7993416946033	17
659	lzl124631x	2389.0448742830954	102
660	cavac	2389.0418347612936	19
661	derekhh	2388.750504664821	16
662	wuchaohaohai	2388.300806253589	51
663	CE_RE_WAyitiaolong	2387.881021554827	38
664	YuhanWu	2387.59561172949	70
665	jazzcat	2387.289186267769	43
666	SiyC	2387.130178200872	77
667	rign-LR7Rq2TRuq	2386.6509401742537	29
668	bryanrpanjinata	2386.425045701179	20
669	DimmyT	2386.4214402300026	20
670	linjiale-b	2385.44169352389	15
671	kaiwensun	2385.414046636713	81
672	site1997	2385.233127877158	58
673	_Vlad_	2385.1813148297274	13
674	garrett9	2384.7539227578886	122
675	knarf	2383.446409230662	41
676	Chatillon-25T	2383.40257150819	29
677	slinSSS	2383.2384172619095	27
678	tsccsj	2383.188000513064	42
679	pwecar	2382.6526226130904	7
680	songrenchu	2382.6117932810835	27
681	DevidXu	2382.471079495996	29
682	penukonda	2382.0277829084703	83
683	botao2018	2381.8804839392255	70
684	n2hawk	2381.5108702005436	28
685	neverbackdown	2380.82469197657	17
686	Hughstudy	2380.5352394149686	150
687	kasperyhr	2380.2232907431376	28
688	hamlet_fiis	2380.1288695637686	128
689	SQRPI	2379.431624313631	29
690	hegupta	2379.0230027860216	37
691	NonesZzft	2378.622483801771	19
692	helloworld201801	2378.6208206674805	33
693	caigogo	2378.526760752101	15
694	zoulc	2378.0866454421575	32
695	spnautilus	2377.6733091205897	12
696	dumb_lvlv	2377.577365455867	17
697	yurikaka	2376.1721198908367	65
698	hieptk	2375.989514003907	5
699	unicorn2014	2375.9326944532036	42
700	shiautsung	2375.7632055180466	57
701	chendongcharlie	2375.1805959110598	32
702	xingyuwang	2375.100321938769	14
703	dnkywin	2375.0744193999303	6
704	tckwok0	2375.0275521549493	12
705	wormtooth	2374.390143498925	57
706	tommyjiang	2374.3824116966084	119
707	hwhf6699	2374.139405985061	72
708	EDIEEE	2374.118892231531	27
709	yrclamb	2373.8740709784856	141
710	maxpushkarev	2373.5790426810863	52
711	o0o0o0o0o0	2373.373986577574	70
712	awaracoder	2373.2209763082387	36
713	X_Chen6	2373.154326256419	27
714	pernekhan	2373.1458329322786	56
715	wincss	2372.71644019057	56
716	necroramen	2372.2866100636224	22
717	lixiangfan97	2372.030736442948	16
718	kevin_yao	2372.021648757195	55
719	mathbookpeace	2371.902057094302	83
720	ZhihanYao	2371.8847284640287	14
721	pyxpyx1992	2371.76081145834	14
722	wengzhe	2371.566332680299	13
723	A_Pinterest_Employee	2371.1868378326403	119
724	jcaoso1a	2370.974183928588	214
725	frostfrog	2370.6977099489163	108
726	ruiiiii	2369.8658601305456	33
727	naming_is_hard	2369.755657674414	40
728	merryl	2369.3929308907245	68
729	zzq-_-	2369.2291744682425	35
730	anson370	2369.2111672124615	33
731	14417335	2368.803547215933	50
732	rchaves	2368.549556628349	16
733	ttjtftx	2368.32385629528	35
734	wsyzmmx	2368.261491684358	7
735	FighterNan	2367.6961869045576	145
736	xyz_zhzho	2367.187807600782	17
737	WeiminZhou	2366.7466161201223	17
